platekey,population,plate,well
1,1.1,1,B10
1,1.1,3,B10
1,1.1,5,B10
1,1.1,1,D04
1,1.1,3,D04
1,1.1,5,D04
1,1.2,1,E05
1,1.2,3,E05
1,1.2,5,E05
1,1.2,1,G02
1,1.2,3,G02
1,1.2,5,G02
1,1.3,1,B05
1,1.3,3,B05
1,1.3,5,B05
1,1.3,1,D09
1,1.3,3,D09
1,1.3,5,D09
1,1.4,1,D03
1,1.4,3,D03
1,1.4,5,D03
1,1.4,1,F07
1,1.4,3,F07
1,1.4,5,F07
1,1.5,1,G04
1,1.5,3,G04
1,1.5,5,G04
1,1.5,1,B07
1,1.5,3,B07
1,1.5,5,B07
1,1.6,1,D02
1,1.6,3,D02
1,1.6,5,D02
1,1.6,1,E08
1,1.6,3,E08
1,1.6,5,E08
1,1.7,1,B09
1,1.7,3,B09
1,1.7,5,B09
1,1.7,1,G03
1,1.7,3,G03
1,1.7,5,G03
1,1.8,1,B02
1,1.8,3,B02
1,1.8,5,B02
1,1.8,1,F02
1,1.8,3,F02
1,1.8,5,F02
1,2.1,1,C05
1,2.1,3,C05
1,2.1,5,C05
1,2.1,1,D10
1,2.1,3,D10
1,2.1,5,D10
1,2.2,1,D07
1,2.2,3,D07
1,2.2,5,D07
1,2.2,1,F09
1,2.2,3,F09
1,2.2,5,F09
1,2.3,1,C02
1,2.3,3,C02
1,2.3,5,C02
1,2.3,1,C08
1,2.3,3,C08
1,2.3,5,C08
1,2.4,1,C09
1,2.4,3,C09
1,2.4,5,C09
1,2.4,1,F04
1,2.4,3,F04
1,2.4,5,F04
1,2.5,1,E02
1,2.5,3,E02
1,2.5,5,E02
1,2.5,1,E09
1,2.5,3,E09
1,2.5,5,E09
1,2.6,1,B04
1,2.6,3,B04
1,2.6,5,B04
1,2.6,1,F06
1,2.6,3,F06
1,2.6,5,F06
1,2.7,1,B06
1,2.7,3,B06
1,2.7,5,B06
1,2.7,1,E07
1,2.7,3,E07
1,2.7,5,E07
1,2.8,1,B08
1,2.8,3,B08
1,2.8,5,B08
1,2.8,1,D06
1,2.8,3,D06
1,2.8,5,D06
1,3.1,1,C03
1,3.1,3,C03
1,3.1,5,C03
1,3.1,1,F10
1,3.1,3,F10
1,3.1,5,F10
1,3.2,1,F03
1,3.2,3,F03
1,3.2,5,F03
1,3.2,1,C07
1,3.2,3,C07
1,3.2,5,C07
1,3.3,1,D05
1,3.3,3,D05
1,3.3,5,D05
1,3.3,1,E10
1,3.3,3,E10
1,3.3,5,E10
1,3.4,1,C10
1,3.4,3,C10
1,3.4,5,C10
1,3.4,1,E04
1,3.4,3,E04
1,3.4,5,E04
1,3.5,1,D08
1,3.5,3,D08
1,3.5,5,D08
