file_name,path,well_plate,well,plate,date_time,RFU,platekey,population,treatment,replicate,start_time,days,acclimation_conditions,experiment_conditions
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-10_1718pm_191010_171904_0001_,data-raw/chlorophyll/aquatic-ecology-,F02_1,F02,1,2019-10-10T17:11:56Z,10,1,1.8,1,8,2019-10-09T16:00:09Z,1.049849537037037,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-10_1718pm_191010_171904_0001_,data-raw/chlorophyll/aquatic-ecology-,G02_1,G02,1,2019-10-10T17:11:56Z,13,1,1.2,1,2,2019-10-09T16:00:09Z,1.049849537037037,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-11_0758am_191011_075851_0001_,data-raw/chlorophyll/aquatic-ecology-,B02_1,B02,1,2019-10-11T07:51:32Z,21,1,1.8,1,8,2019-10-09T16:00:09Z,1.6606828703703704,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-11_0758am_191011_075851_0001_,data-raw/chlorophyll/aquatic-ecology-,C02_1,C02,1,2019-10-11T07:51:32Z,14,1,2.3,2,3,2019-10-09T16:00:09Z,1.6606828703703704,dark_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-11_0758am_191011_075851_0001_,data-raw/chlorophyll/aquatic-ecology-,D02_1,D02,1,2019-10-11T07:51:32Z,25,1,1.6,1,6,2019-10-09T16:00:09Z,1.6606828703703704,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-11_0758am_191011_075851_0001_,data-raw/chlorophyll/aquatic-ecology-,E02_1,E02,1,2019-10-11T07:51:32Z,12,1,2.5,2,5,2019-10-09T16:00:09Z,1.6606828703703704,dark_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-11_0758am_191011_075851_0001_,data-raw/chlorophyll/aquatic-ecology-,F02_1,F02,1,2019-10-11T07:51:32Z,17,1,1.8,1,8,2019-10-09T16:00:09Z,1.6606828703703704,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-11_0758am_191011_075851_0001_,data-raw/chlorophyll/aquatic-ecology-,G02_1,G02,1,2019-10-11T07:51:32Z,15,1,1.2,1,2,2019-10-09T16:00:09Z,1.6606828703703704,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-11_1644pm_191011_164443_0001_,data-raw/chlorophyll/aquatic-ecology-,B02_1,B02,1,2019-10-11T16:37:38Z,28,1,1.8,1,8,2019-10-09T16:00:09Z,2.0260300925925927,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-11_1644pm_191011_164443_0001_,data-raw/chlorophyll/aquatic-ecology-,C02_1,C02,1,2019-10-11T16:37:38Z,18,1,2.3,2,3,2019-10-09T16:00:09Z,2.0260300925925927,dark_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-11_1644pm_191011_164443_0001_,data-raw/chlorophyll/aquatic-ecology-,D02_1,D02,1,2019-10-11T16:37:38Z,30,1,1.6,1,6,2019-10-09T16:00:09Z,2.0260300925925927,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-11_1644pm_191011_164443_0001_,data-raw/chlorophyll/aquatic-ecology-,E02_1,E02,1,2019-10-11T16:37:38Z,16,1,2.5,2,5,2019-10-09T16:00:09Z,2.0260300925925927,dark_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-11_1644pm_191011_164443_0001_,data-raw/chlorophyll/aquatic-ecology-,F02_1,F02,1,2019-10-11T16:37:38Z,22,1,1.8,1,8,2019-10-09T16:00:09Z,2.0260300925925927,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate1-2019-10-11_1644pm_191011_164443_0001_,data-raw/chlorophyll/aquatic-ecology-,G02_1,G02,1,2019-10-11T16:37:38Z,19,1,1.2,1,2,2019-10-09T16:00:09Z,2.0260300925925927,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-09_191009_161542_0001_,data-raw/chlorophyll/aquatic-ecology-,B02_2,B02,2,2019-10-09T16:08:44Z,4,2,1.2,1,2,2019-10-09T16:00:09Z,0.005960648148148148,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-09_191009_161542_0001_,data-raw/chlorophyll/aquatic-ecology-,C02_2,C02,2,2019-10-09T16:08:44Z,22,2,3.7,3,7,2019-10-09T16:00:09Z,0.005960648148148148,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-09_191009_161542_0001_,data-raw/chlorophyll/aquatic-ecology-,D02_2,D02,2,2019-10-09T16:08:44Z,9,2,3.1,3,1,2019-10-09T16:00:09Z,0.005960648148148148,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-09_191009_161542_0001_,data-raw/chlorophyll/aquatic-ecology-,E02_2,E02,2,2019-10-09T16:08:44Z,21,2,3.8,3,8,2019-10-09T16:00:09Z,0.005960648148148148,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-09_191009_161542_0001_,data-raw/chlorophyll/aquatic-ecology-,F02_2,F02,2,2019-10-09T16:08:44Z,8,2,2.1,2,1,2019-10-09T16:00:09Z,0.005960648148148148,dark_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-09_191009_161542_0001_,data-raw/chlorophyll/aquatic-ecology-,G02_2,G02,2,2019-10-09T16:08:44Z,17,2,3.4,3,4,2019-10-09T16:00:09Z,0.005960648148148148,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-10_0753am_191010_075331_0001_,data-raw/chlorophyll/aquatic-ecology-,B02_2,B02,2,2019-10-10T07:46:19Z,7,2,1.2,1,2,2019-10-09T16:00:09Z,0.6570601851851852,light_acclimated,grown_in_light
